b/h,300,400,500,600,610,700,800,900,910,1000,1100,1200,1210,1300,1400,1500,1600,1700,1800,1810,1900,2000,2100,2200,2300,2400,2500,2600,2700,2710,2800,2900,3000,3100,3200,3300,3400,3500,3600,3610,3700,3800,3900,4000,4100,4200,4300,4400,4500,4510,4600,4700,4800,4900,5000,5100,5200,5300,5400,5410,5500,5600,5700,5800,5900,6000,6100,6200,6300,6310,6400,6500,6600,6700,6800,6900,7000,7100,7200,7210,7300,7400,7500,7600,7700,7800,7900,8000,8100,8110,8200,8300,8400,8500,8600,8700,8800,8900,9000
1300, 110.42, 112.98, 115.54, 118.09, 150.97, 153.50, 156.06, 158.62, 202.74, 205.28, 207.83, 210.39, 301.51, 304.05, 306.60, 309.16, 311.72, 314.28, 316.83, 452.06, 454.59, 457.15, 459.71, 462.26, 464.82, 467.38, 469.93, 472.49, 475.05, 610.28, 612.81, 615.37, 617.92, 620.48, 623.04, 625.59, 628.15, 630.71, 633.27, 768.49, 771.03, 773.58, 776.14, 778.70, 781.25, 783.81, 786.37, 788.93, 791.48, 926.71, 929.24, 931.80, 934.36, 936.91, 939.47, 942.03, 944.59, 947.14, 949.70, 1084.93, 1087.46, 1090.02, 1092.57, 1095.13, 1097.69, 1100.24, 1102.80, 1105.36, 1107.92, 1243.14, 1245.68, 1248.23, 1250.79, 1253.35, 1255.90, 1258.46, 1261.02, 1263.58, 1266.13, 1401.36, 1403.89, 1406.45, 1409.01, 1411.56, 1414.12, 1416.68, 1419.24, 1421.79, 1424.35, 1559.58, 1562.11, 1564.67, 1567.22, 1569.78, 1572.34, 1574.89, 1577.45, 1580.01, 1582.57
1400, 111.57, 114.24, 116.92, 119.60, 152.59, 155.24, 157.91, 160.59, 205.34, 207.99, 210.67, 213.34, 304.75, 307.40, 310.08, 312.75, 315.43, 318.10, 320.78, 456.91, 459.56, 462.24, 464.91, 467.59, 470.27, 472.94, 475.62, 478.29, 480.97, 617.10, 619.75, 622.43, 625.10, 627.78, 630.46, 633.13, 635.81, 638.48, 641.16, 777.29, 779.94, 782.62, 785.29, 787.97, 790.65, 793.32, 796.00, 798.67, 801.35, 937.48, 940.13, 942.81, 945.49, 948.16, 950.84, 953.51, 956.19, 958.86, 961.54, 1097.67, 1100.32, 1103.00, 1105.68, 1108.35, 1111.03, 1113.70, 1116.38, 1119.05, 1121.73, 1257.86, 1260.51, 1263.19, 1265.87, 1268.54, 1271.22, 1273.89, 1276.57, 1279.24, 1281.92, 1418.05, 1420.70, 1423.38, 1426.06, 1428.73, 1431.41, 1434.08, 1436.76, 1439.43, 1442.11, 1578.25, 1580.89, 1583.57, 1586.25, 1588.92, 1591.60, 1594.27, 1596.95, 1599.63, 1602.30
1500, 112.71, 115.51, 118.30, 121.10, 154.21, 156.97, 159.77, 162.56, 207.94, 210.71, 213.50, 216.29, 307.99, 310.75, 313.55, 316.34, 319.14, 321.93, 324.73, 461.77, 464.53, 467.33, 470.12, 472.92, 475.71, 478.51, 481.30, 484.10, 486.89, 623.93, 626.70, 629.49, 632.29, 635.08, 637.88, 640.67, 643.46, 646.26, 649.05, 786.09, 788.86, 791.66, 794.45, 797.24, 800.04, 802.83, 805.63, 808.42, 811.22, 948.26, 951.03, 953.82, 956.61, 959.41, 962.20, 965.00, 967.79, 970.59, 973.38, 1110.42, 1113.19, 1115.98, 1118.78, 1121.57, 1124.37, 1127.16, 1129.96, 1132.75, 1135.54, 1272.59, 1275.35, 1278.15, 1280.94, 1283.74, 1286.53, 1289.32, 1292.12, 1294.91, 1297.71, 1434.75, 1437.52, 1440.31, 1443.10, 1445.90, 1448.69, 1451.49, 1454.28, 1457.08, 1459.87, 1596.91, 1599.68, 1602.47, 1605.27, 1608.06, 1610.86, 1613.65, 1616.45, 1619.24, 1622.04
1600, 113.86, 116.77, 119.68, 122.60, 155.83, 158.71, 161.62, 164.54, 210.54, 213.42, 216.33, 219.25, 311.22, 314.11, 317.02, 319.93, 322.85, 325.76, 328.67, 466.62, 469.51, 472.42, 475.33, 478.24, 481.16, 484.07, 486.98, 489.90, 492.81, 630.76, 633.64, 636.56, 639.47, 642.38, 645.29, 648.21, 651.12, 654.03, 656.95, 794.90, 797.78, 800.69, 803.61, 806.52, 809.43, 812.35, 815.26, 818.17, 821.08, 959.03, 961.92, 964.83, 967.74, 970.66, 973.57, 976.48, 979.40, 982.31, 985.22, 1123.17, 1126.05, 1128.97, 1131.88, 1134.79, 1137.71, 1140.62, 1143.53, 1146.45, 1149.36, 1287.31, 1290.19, 1293.10, 1296.02, 1298.93, 1301.84, 1304.76, 1307.67, 1310.58, 1313.50, 1451.44, 1454.33, 1457.24, 1460.15, 1463.07, 1465.98, 1468.89, 1471.81, 1474.72, 1477.63, 1615.58, 1618.46, 1621.38, 1624.29, 1627.20, 1630.12, 1633.03, 1635.94, 1638.86, 1641.77
1700, 115.00, 118.04, 121.07, 124.10, 157.44, 160.45, 163.48, 166.51, 213.13, 216.14, 219.17, 222.20, 314.46, 317.46, 320.49, 323.52, 326.56, 329.59, 332.62, 471.48, 474.48, 477.51, 480.54, 483.57, 486.60, 489.64, 492.67, 495.70, 498.73, 637.59, 640.59, 643.62, 646.65, 649.68, 652.71, 655.75, 658.78, 661.81, 664.84, 803.70, 806.70, 809.73, 812.76, 815.79, 818.82, 821.86, 824.89, 827.92, 830.95, 969.81, 972.81, 975.84, 978.87, 981.90, 984.94, 987.97, 991.00, 994.03, 997.06, 1135.92, 1138.92, 1141.95, 1144.98, 1148.01, 1151.05, 1154.08, 1157.11, 1160.14, 1163.17, 1302.03, 1305.03, 1308.06, 1311.09, 1314.12, 1317.16, 1320.19, 1323.22, 1326.25, 1329.28, 1468.14, 1471.14, 1474.17, 1477.20, 1480.23, 1483.27, 1486.30, 1489.33, 1492.36, 1495.39, 1634.25, 1637.25, 1640.28, 1643.31, 1646.35, 1649.38, 1652.41, 1655.44, 1658.47, 1661.50
1800, 116.15, 119.30, 122.45, 125.60, 159.06, 162.18, 165.33, 168.48, 215.73, 218.85, 222.00, 225.15, 317.70, 320.82, 323.97, 327.12, 330.27, 333.42, 336.57, 476.33, 479.45, 482.60, 485.75, 488.90, 492.05, 495.20, 498.35, 501.50, 504.65, 644.41, 647.53, 650.68, 653.83, 656.98, 660.13, 663.28, 666.43, 669.58, 672.73, 812.50, 815.62, 818.77, 821.92, 825.07, 828.22, 831.37, 834.52, 837.67, 840.82, 980.58, 983.70, 986.85, 990.00, 993.15, 996.30, 999.45, 1002.60, 1005.75, 1008.90, 1148.66, 1151.78, 1154.93, 1158.08, 1161.23, 1164.39, 1167.54, 1170.69, 1173.84, 1176.99, 1316.75, 1319.87, 1323.02, 1326.17, 1329.32, 1332.47, 1335.62, 1338.77, 1341.92, 1345.07, 1484.83, 1487.95, 1491.10, 1494.25, 1497.40, 1500.55, 1503.70, 1506.85, 1510.00, 1513.15, 1652.92, 1656.04, 1659.19, 1662.34, 1665.49, 1668.64, 1671.79, 1674.94, 1678.09, 1681.24
1810, 119.92, 123.07, 126.23, 129.38, 166.60, 169.72, 172.88, 176.03, 223.28, 226.40, 229.55, 232.71, 332.78, 335.90, 339.05, 342.20, 345.35, 348.50, 351.65, 498.95, 502.07, 505.22, 508.37, 511.52, 514.68, 517.83, 520.98, 524.13, 527.28, 674.58, 677.70, 680.85, 684.00, 687.15, 690.30, 693.46, 696.61, 699.76, 702.91, 850.21, 853.33, 856.48, 859.63, 862.78, 865.93, 869.08, 872.23, 875.39, 878.54, 1025.83, 1028.95, 1032.10, 1035.26, 1038.41, 1041.56, 1044.71, 1047.86, 1051.01, 1054.17, 1201.46, 1204.58, 1207.73, 1210.88, 1214.04, 1217.19, 1220.34, 1223.49, 1226.64, 1229.79, 1377.09, 1380.21, 1383.36, 1386.51, 1389.66, 1392.81, 1395.97, 1399.12, 1402.27, 1405.42, 1552.72, 1555.84, 1558.99, 1562.14, 1565.29, 1568.44, 1571.59, 1574.75, 1577.90, 1581.05, 1728.34, 1731.46, 1734.62, 1737.77, 1740.92, 1744.07, 1747.22, 1750.37, 1753.52, 1756.68
1900, 121.06, 124.32, 127.59, 130.86, 168.21, 171.44, 174.71, 177.98, 225.85, 229.09, 232.36, 235.63, 335.98, 339.22, 342.49, 345.75, 349.02, 352.29, 355.56, 503.76, 506.99, 510.26, 513.53, 516.80, 520.07, 523.34, 526.61, 529.87, 533.14, 681.34, 684.57, 687.84, 691.11, 694.38, 697.65, 700.92, 704.19, 707.46, 710.72, 858.92, 862.15, 865.42, 868.69, 871.96, 875.23, 878.50, 881.77, 885.04, 888.31, 1036.50, 1039.74, 1043.00, 1046.27, 1049.54, 1052.81, 1056.08, 1059.35, 1062.62, 1065.89, 1214.08, 1217.32, 1220.59, 1223.85, 1227.12, 1230.39, 1233.66, 1236.93, 1240.20, 1243.47, 1391.66, 1394.90, 1398.17, 1401.44, 1404.71, 1407.97, 1411.24, 1414.51, 1417.78, 1421.05, 1569.24, 1572.48, 1575.75, 1579.02, 1582.29, 1585.56, 1588.82, 1592.09, 1595.36, 1598.63, 1746.82, 1750.06, 1753.33, 1756.60, 1759.87, 1763.14, 1766.41, 1769.67, 1772.94, 1776.21
2000, 122.20, 125.59, 128.98, 132.36, 169.83, 173.18, 176.57, 179.95, 228.45, 231.81, 235.19, 238.58, 339.22, 342.57, 345.96, 349.35, 352.73, 356.12, 359.51, 508.61, 511.96, 515.35, 518.74, 522.13, 525.51, 528.90, 532.29, 535.68, 539.06, 688.16, 691.52, 694.91, 698.29, 701.68, 705.07, 708.46, 711.84, 715.23, 718.62, 867.72, 871.07, 874.46, 877.85, 881.24, 884.62, 888.01, 891.40, 894.79, 898.17, 1047.27, 1050.63, 1054.01, 1057.40, 1060.79, 1064.18, 1067.57, 1070.95, 1074.34, 1077.73, 1226.83, 1230.18, 1233.57, 1236.96, 1240.34, 1243.73, 1247.12, 1250.51, 1253.90, 1257.28, 1406.38, 1409.74, 1413.12, 1416.51, 1419.90, 1423.29, 1426.67, 1430.06, 1433.45, 1436.84, 1585.94, 1589.29, 1592.68, 1596.07, 1599.45, 1602.84, 1606.23, 1609.62, 1613.00, 1616.39, 1765.49, 1768.85, 1772.23, 1775.62, 1779.01, 1782.40, 1785.78, 1789.17, 1792.56, 1795.95
2100, 123.35, 126.85, 130.36, 133.86, 171.44, 174.91, 178.42, 181.93, 231.05, 234.52, 238.03, 241.53, 342.45, 345.92, 349.43, 352.94, 356.44, 359.95, 363.46, 513.46, 516.93, 520.44, 523.95, 527.45, 530.96, 534.47, 537.97, 541.48, 544.98, 694.99, 698.46, 701.97, 705.47, 708.98, 712.49, 715.99, 719.50, 723.01, 726.51, 876.52, 879.99, 883.50, 887.00, 890.51, 894.02, 897.52, 901.03, 904.53, 908.04, 1058.05, 1061.52, 1065.02, 1068.53, 1072.04, 1075.54, 1079.05, 1082.56, 1086.06, 1089.57, 1239.58, 1243.05, 1246.55, 1250.06, 1253.57, 1257.07, 1260.58, 1264.08, 1267.59, 1271.10, 1421.10, 1424.58, 1428.08, 1431.59, 1435.09, 1438.60, 1442.11, 1445.61, 1449.12, 1452.63, 1602.63, 1606.10, 1609.61, 1613.12, 1616.62, 1620.13, 1623.63, 1627.14, 1630.65, 1634.15, 1784.16, 1787.63, 1791.14, 1794.64, 1798.15, 1801.66, 1805.16, 1808.67, 1812.18, 1815.68
